311;30000000;50.889;5382;08.kwi;5500000;229;30825;en;Drama#Crime;The Ladd Company#Embassy International Pictures#Rafran Cinematografica#PSO#Warner Bros. Pictures;US#IT;French#Squiggles2##Italiano#English
510;3000000;77.746;10422;08.kwi;108981275;133;27717;en;Drama;Fantasy Films#United Artists;US;English
5924;12000000;42.795;1890;lip.84;53267000;151;27014;en;Crime#Drama;Allied Artists Pictures#Solar Productions#Corona-General;US;English#Espaniol
975;935000;25.039;2899;08.mar;1200000;88;21118;en;War#Drama#History;Bryna Productions#United Artists#Harris-Kubrick Productions;US;Deutsch#English#Latin
391;200000;28.781;4198;07.sie;14500000;99;23632;it;Western;Jolly Film#Ocean Films#Constantin Film;DE#IT#ES;Italiano#Espaniol
797;0;16.kwi;2133;sie.18;0;83;24398;sv;Drama;SF Studios;SE;svenska
22;140000000;132.307;20573;07.sie;655011224;143;37811;en;Adventure#Fantasy#Action;Walt Disney Pictures#Jerry Bruckheimer Films;US;English
792;6000000;36.451;4506;07.lip;138530565;120;31765;en;Drama#War#Action;Hemdale Film Corporation#Cinema 86#Cinema 84#Orion Pictures#Orion;GB#US;English#Vietnameese
539;806947;51.975;10048;08.kwi;32000000;109;22089;en;Horror#Thriller#Mystery;Shamley Productions;US;English
680;8500000;91.849;27888;8.488;213928762;154;34587;en;Thriller#Crime;Miramax#A Band Apart#Jersey Films;US;English#Espaniol#French
1578;18000000;30.064;4291;07.wrz;23380203;129;29539;en;Drama;United Artists#Chartoff-Winkler Productions;US;English
85;18000000;79.987;12368;07.wrz;389925971;115;29749;en;Adventure#Action;Paramount Pictures#Lucasfilm Ltd.;US;English#Espaniol#Deutsch#Squiggles2#Arabic
380;25000000;41.286;6311;7.762;354825435;134;32489;en;Drama;United Artists#Star Partners II Ltd.#Guber/Peters Company#Metro-Goldwyn-Mayer;US;Italiano#English
11645;11500005;26.418;1532;08.sty;11859533;160;31199;ja;Action#Drama#History;Nippon Herald Films#Greenwich Film Production#Herald Ace#TOHO;JP#FR;Chinese2
2062;150000000;122.789;16998;7.825;623726000;111;39254;en;Animation#Comedy#Family#Fantasy;Pixar#Walt Disney Pictures;US;English#French
567;1000000;30.403;6464;08.kwi;37042336;112;19937;en;Thriller#Mystery;Paramount Pictures#Patron Inc.;US;English
223;1288000;25.621;1744;07.wrz;7592465;130;14693;en;Mystery#Romance#Thriller#Drama;Selznick International Pictures;US;English#French
641;4500000;21.099;9917;8.019;7390108;102;36805;en;Crime#Drama;Artisan Entertainment#Thousand Words#Protozoa Pictures;US;English
500;1200000;42.496;14240;08.sty;2859750;99;33849;en;Crime#Thriller;Live Entertainment#Dog Eat Dog Productions;US;English
1366;1000000;45.641;7818;07.sie;225300000;120;28084;en;Drama;Winkler Films;US;English
804;1500000;21.799;2024;7.878;12000000;119;19597;en;Romance#Comedy#Drama;Paramount Pictures;US;English#Italiano
1580;1500000;23.623;2681;7.946;2200000;81;17603;en;Thriller#Crime#Drama;Transatlantic Pictures;US;English
805;3200000;30.582;3891;7.829;33395426;138;25001;en;Drama#Horror#Thriller;William Castle Productions;US;English
857;70000000;79.131;15786;8.216;481840909;169;36000;en;Drama#History#War;DreamWorks Pictures#Paramount Pictures#Amblin Entertainment#Mutual Film Company;US;Check#Deutsch#English#French
111;25000000;77.119;11781;08.lut;66023329;169;30659;en;Action#Crime#Drama;Universal Pictures#Martin Bregman Productions;US;English#Espaniol
424;22000000;178.405;15836;8.566;321365567;195;34318;en;Drama#History#War;Amblin Entertainment;US;Deutsch#Polski#Squiggles2#English
807;33000000;96.953;20974;8.375;327311859;127;34964;en;Crime#Mystery#Thriller;New Line Cinema#Juno Pix#Cecchi Gori Pictures;US;English
11324;80000000;80.946;23901;08.lut;294804195;138;40223;en;Drama#Thriller#Mystery;Paramount Pictures#Phoenix Pictures#Sikelia Productions#Appian Way;US;English#Deutsch
187;40000000;77.185;8076;07.maj;158700000;124;38443;en;Thriller#Action#Crime;Dimension Films#Troublemaker Studios#Miramax;US;English
872;2540800;35.098;3118;08.lut;7200000;103;19093;en;Comedy#Romance;Metro-Goldwyn-Mayer;US;English
993;3500000;13.906;603;07.lip;5750000;138;26643;en;Thriller#Mystery#Crime#Comedy;Palomar Pictures International;GB;Italiano#English
12405;15000000;29.663;10503;7.733;378400000;120;39764;en;Drama#Romance;Celador Films#Film4 Productions;GB;French#Thai#English
107;10000000;36.996;8982;07.sie;83600000;103;36770;en;Crime#Comedy;SKA Films;GB;English#Russian
239;2883848;37.83;3444;08.sty;25000000;122;21628;en;Comedy#Romance#Crime;The Mirisch Company;US;English
235;8000000;35.05;5841;7.856;52300000;89;31632;en;Crime#Drama;Columbia Pictures#Act III Productions;US;English
13475;150000000;41.567;9811;07.kwi;386839614;127;39939;en;Science Fiction#Action#Adventure;Paramount Pictures#Spyglass Entertainment#Bad Robot;US;English
1892;32350000;53.526;15614;07.wrz;572700000;132;30461;en;Adventure#Action#Science Fiction;Lucasfilm Ltd.;US;English
845;1200000;15.663;1668;07.lip;7000000;101;18806;en;Crime#Thriller;Warner Bros. Pictures;US;French#English
599;1752000;45.444;2565;08.mar;5000000;110;18485;en;Drama;Paramount Pictures;US;English
7508;2600000;37.426;1155;7.994;28430000;162;39437;hi;Drama;Aamir Khan Productions#PVR Inox Pictures#UTV Motion Pictures;IN;Thai
103;1900000;64.304;12212;8.141;28579636;114;27799;en;Crime#Drama;Italo/Judeo Productions#Bill/Phillips#Columbia Pictures;US;English#Espaniol
